Sat Jul 18 00:08:41 CEST 2015	Neil Tansley	NeilTansley	622166054647808000	null	null [par]
Sat Jul 18 05:09:39 CEST 2015	Firstlove	Firstlovez	622241795007737856	GeoLocation{latitude=13.69273742, longitude=100.75121754}	Nong Prue in Samut Prakan [par]
Sat Jul 18 09:42:59 CEST 2015	Brittany Nicole Cobb	britcole014	622310582289604608	null	null [par]
Sat Jul 18 17:48:52 CEST 2015	Diana	ornery_amiable	622432860398444544	null	null [par]
Sat Jul 18 19:16:33 CEST 2015	Pops Tan	akosipops	622454925784551424	null	null [par]
Sat Jul 18 23:57:22 CEST 2015	Major Minus	majorminusband	622525597130997760	null	null [par]
Sun Jul 19 00:02:18 CEST 2015	Fiona Campbell	Re_New_U	622526836518580224	null	Leeds in England [par]
Sun Jul 19 01:19:57 CEST 2015	Kylie Nicole Lambert	UnicornKylie	622546379689201664	null	null [par]
Sun Jul 19 16:39:07 CEST 2015	cynthia	lanecindy1234	622777695189872640	null	null [par]
Sun Jul 19 18:28:54 CEST 2015	njp	cupcakes_etal	622805321619128320	null	null [par]
Sun Jul 19 21:49:40 +0000 2015	ThatStLguy	thatstlguy	622886044971745280	null	null
Sun Jul 19 21:54:23 +0000 2015	Rich Gorman	Jerzy_Rich	622887234144858112	null	null
Sun Jul 19 21:57:03 +0000 2015	Paul Poppa Pickett	TheDeadlySins1	622887902293438464	null	null
Sun Jul 19 22:02:44 +0000 2015	Denise	strangebelle	622889334157504512	null	null
Sun Jul 19 22:41:34 +0000 2015	Lance Burson	lanceburson	622899105531101184	null	null
Sun Jul 19 22:44:50 +0000 2015	Nikki Lynne Lee	nikkilynne1970	622899926368960513	null	null
Mon Jul 20 00:45:10 CEST 2015	Jc Cper	JacCooper1	622900014122180608	null	null [par]
Sun Jul 19 22:54:57 +0000 2015	Jacob Teats	j_teats	622902473234219009	null	null
Sun Jul 19 22:59:16 +0000 2015	RiRi 	RiRiBB17	622903559240069120	null	null
Sun Jul 19 23:05:41 +0000 2015	Gerry Cramer	gerrycramer	622905174550405120	null	null
Sun Jul 19 23:38:02 +0000 2015	JerriAnnHenry	JerriAnnHenry	622913317217148930	null	Washington in DC
Sun Jul 19 23:39:04 +0000 2015	The Cuggsmeister 	TheCuggsmeister	622913578585182208	null	null
Sun Jul 19 23:39:54 +0000 2015	\(o_0)/ 	welds_straight	622913784533774336	null	null
Sun Jul 19 23:57:01 +0000 2015	Pamela DiGiu	Pammina87	622918094881689600	null	null
Sun Jul 19 23:58:44 +0000 2015	Erik McCleary II	Mad4tlas	622918525535961088	null	null
Mon Jul 20 00:00:02 +0000 2015	Smart Ass Quotes	smartassquote	622918852096032768	null	null
Mon Jul 20 00:04:48 +0000 2015	Jim	JMorril2	622920051142701056	null	null
Mon Jul 20 00:10:25 +0000 2015	Maddie Miller	maddie_M_iller	622921466720440320	null	null
Mon Jul 20 00:10:41 +0000 2015	Summer Raine 	SmileitsSummer3	622921534823399424	null	null
Mon Jul 20 00:16:09 +0000 2015	Pete Rude	oitnily	622922907266650112	null	null
Mon Jul 20 00:19:15 +0000 2015	Courtney Koenig	CourtRK	622923690284466176	null	null
Mon Jul 20 00:21:12 +0000 2015	Johnny	jstats	622924179562586112	null	Oakville in MO
Mon Jul 20 00:26:55 +0000 2015	KristeHansen	Disney_Bound91	622925618024333312	null	null
Mon Jul 20 00:40:31 +0000 2015	Bruce Venture	BruceVentureXXX	622929040987541504	null	null
Mon Jul 20 00:43:00 +0000 2015	Summer	SummerPeak1	622929667914399744	null	null
Mon Jul 20 00:43:34 +0000 2015	Thoughtful Blonde	thoughtflblonde	622929808217866240	null	null
Mon Jul 20 00:52:50 +0000 2015	Tony Stephan	OmnipoTony	622932141702283264	null	null
Mon Jul 20 01:15:48 +0000 2015	Steven-Elliot Altman	RealSteveAltman	622937922426109952	null	null
Mon Jul 20 01:20:37 +0000 2015	procrasteenager	hundredollar_	622939133577527296	null	null
Mon Jul 20 01:34:52 +0000 2015	Alisha Gail Prewitt	leesh_prewitt	622942716557574145	null	null
Mon Jul 20 01:36:06 +0000 2015	Michael Grim	RestlessNativ	622943029016444928	null	null
Mon Jul 20 01:53:05 +0000 2015	Molly @ Hey Eleanor	mollymogren	622947302492258304	null	null
Mon Jul 20 02:01:10 +0000 2015	Human Fund	Gcarter3	622949336440156160	null	null
Mon Jul 20 02:06:43 +0000 2015	✏____gabi perez.	gabicrista	622950732946280448	null	null
Mon Jul 20 02:07:47 +0000 2015	Josh Shahryar	JShahryar	622951000375070720	null	null
Mon Jul 20 02:14:18 +0000 2015	Jordan	BigDaddyCool_55	622952641853702144	null	null
Mon Jul 20 02:21:30 +0000 2015	PΔY	payoub	622954453327577092	null	null
Mon Jul 20 02:23:43 +0000 2015	Heather Stover	heatstover	622955013355216896	null	London in Ontario
Mon Jul 20 02:38:55 +0000 2015	NY l Voodoo	NYVoodoo	622958837008572416	null	null
Mon Jul 20 02:39:58 +0000 2015	 jordan 	cabeyosariana	622959100016529410	null	null
Mon Jul 20 02:47:39 +0000 2015	John Jordan	JBJ51Merc	622961036153503744	null	null
Mon Jul 20 02:56:09 +0000 2015	King Shaun 	winky1799	622963176166944768	null	null
Mon Jul 20 02:57:35 +0000 2015	anneliese clare	lieseclare	622963534603816961	null	null
Mon Jul 20 03:00:09 +0000 2015	Rob Foreman	DaRobster3	622964179192967168	null	null
Mon Jul 20 03:00:10 +0000 2015	Lemongräb	HankOfLemongrab	622964186943918080	null	null
Mon Jul 20 03:03:15 +0000 2015	Dessy Lite	xkahlill_	622964961392885761	null	null
Mon Jul 20 03:08:58 +0000 2015	Jon Reimer	TheReimereason	622966398990442497	null	null
Mon Jul 20 03:13:52 +0000 2015	Karen L	ishadow1	622967632489246720	null	null
Mon Jul 20 03:15:27 +0000 2015	Kelsey Meyer	IAmTheFun1	622968032831213568	null	null
Mon Jul 20 03:33:42 +0000 2015	Karrah	Karrahmello	622972625736699904	null	null
Mon Jul 20 03:52:58 +0000 2015	Shannon	playpanic	622977473039368192	null	null
Mon Jul 20 03:59:44 +0000 2015	Michael Thomas	MTjr_15	622979175952052224	null	null
Mon Jul 20 04:01:07 +0000 2015	Robert Cullen	digitalsuffolk	622979521583685632	null	null
Mon Jul 20 04:07:28 +0000 2015	Jaclynn Magnuson 	Shortayy16	622981123606380544	null	null
Mon Jul 20 04:33:56 +0000 2015	Real Brutha Lester™©	DiveConLFP	622987783985070086	null	null
Mon Jul 20 04:50:58 +0000 2015	Georgia Lee Deakin	cookielady1977	622992067388682241	null	null
Mon Jul 20 04:55:42 +0000 2015	Amanda Shavers-Davis	AHShavers	622993261918089216	null	null
Mon Jul 20 05:06:51 +0000 2015	¡Bangerang!	0hcellyb0n	622996067609628672	[38.275531, -121.297325]	Galt in CA
Mon Jul 20 05:15:28 +0000 2015	Sāvion Wrīght	SavionWright	622998236249329664	null	null
Mon Jul 20 05:21:50 +0000 2015	Nikki Francisco ️ ️	nikkifrancisco2	622999835101282304	null	null
